landmark_id,position,url,source,license,attribution_text,caption_en,caption_ar,researcher,notes
ABH,1,,,,,,,,
ABH,2,,,,,,,,
ABH,3,,,,,,,,
AJF,1,https://commons.wikimedia.org/wiki/Special:FilePath/Al-Jafr_main_road.jpg,Wikimedia Commons,CC BY-SA 4.0,"Photo by Davide Mauro, CC BY-SA 4.0, via Wikimedia Commons",,,,carried over from the Phase 1 hero image
AJF,2,,,,,,,,
AJF,3,,,,,,,,
AMS,1,"https://commons.wikimedia.org/wiki/Special:FilePath/Petra_(Wadi_Musa)._Ain_Mus._Spring_of_Moses,_near_Eldji_on_road_from_Ma%27an_LOC_matpc.03066.jpg",Wikimedia Commons,public domain,"Library of Congress, G. Eric and Edith Matson Photograph Collection, 1920, public domain, via Wikimedia Commons",,,,carried over from the Phase 1 hero image
AMS,2,,,,,,,,
AMS,3,,,,,,,,
BAJ,1,https://commons.wikimedia.org/wiki/Special:FilePath/Ba%27ja_01.jpg,Wikimedia Commons,CC BY-SA 3.0,"Photo by Ana al'ain, CC BY-SA 3.0, via Wikimedia Commons",,,,carried over from the Phase 1 hero image
BAJ,2,,,,,,,,
BAJ,3,,,,,,,,
BAS,1,https://commons.wikimedia.org/wiki/Special:FilePath/Basta_01.jpg,Wikimedia Commons,CC BY-SA 4.0,"Photo by Ana al'ain, CC BY-SA 4.0, via Wikimedia Commons",,,,carried over from the Phase 1 hero image
BAS,2,,,,,,,,
BAS,3,,,,,,,,
BEI,1,https://commons.wikimedia.org/wiki/Special:FilePath/Beidha_(Ruins).jpg,Wikimedia Commons,CC BY-SA 4.0,"Photo by Bashar Tabbah, CC BY-SA 4.0, via Wikimedia Commons",,,,carried over from the Phase 1 hero image
BEI,2,,,,,,,,
BEI,3,,,,,,,,
DAJ,1,https://commons.wikimedia.org/wiki/Special:FilePath/Da%27ajaniya.jpg,Wikimedia Commons,CC BY-SA 4.0,"Photo by Bashar Tabbah, CC BY-SA 4.0, via Wikimedia Commons",,,,carried over from the Phase 1 hero image
DAJ,2,,,,,,,,
DAJ,3,,,,,,,,
JHR,1,https://commons.wikimedia.org/wiki/Special:FilePath/Mt_Harun_from_Taybe.JPG,Wikimedia Commons,CC BY-SA 3.0,"Photo by Uri Juda, CC BY-SA 3.0, via Wikimedia Commons",,,,carried over from the Phase 1 hero image
JHR,2,,,,,,,,
JHR,3,,,,,,,,
LPET,1,https://commons.wikimedia.org/wiki/Special:FilePath/05_Little_Petra_Canyon_Trail_-_The_Trail_Starts_at_the_End_of_Little_Petra_-_panoramio.jpg,Wikimedia Commons,CC BY-SA 3.0,"Photo by hikinginjordan, CC BY-SA 3.0, via Wikimedia Commons",,,,carried over from the Phase 1 hero image
LPET,2,,,,,,,,
LPET,3,,,,,,,,
MPL,1,"https://commons.wikimedia.org/wiki/Special:FilePath/Maan_Station,_Hedjaz_R.R._(i.e.,_Hejaz_Railroad)_LOC_matpc.09321.jpg",Wikimedia Commons,public domain,"Photo by the Matson Photograph Collection (Library of Congress), public domain, via Wikimedia Commons",,,,carried over from the Phase 1 hero image
MPL,2,,,,,,,,
MPL,3,,,,,,,,
MUT,1,https://commons.wikimedia.org/wiki/Special:FilePath/El_Mutrab_-_Limes_Arabicus%2C_Mediatus.svg,Wikimedia Commons,CC BY-SA 3.0,"Mediatus, CC BY-SA 3.0, via Wikimedia Commons",,,,carried over from the Phase 1 hero image
MUT,2,,,,,,,,
MUT,3,,,,,,,,
OPM,1,https://commons.wikimedia.org/wiki/Special:FilePath/Petra_museum_along_Wadi_Syagh_2360.jpg,Wikimedia Commons,CC BY-SA 4.0,"Photo by Dick Osseman, CC BY-SA 4.0, via Wikimedia Commons",,,,carried over from the Phase 1 hero image
OPM,2,,,,,,,,
OPM,3,,,,,,,,
PAM,1,,,,,,,,
PAM,2,,,,,,,,
PAM,3,,,,,,,,
PET,1,https://commons.wikimedia.org/wiki/Special:FilePath/Central_Petra.jpg,Wikimedia Commons,CC BY-SA 3.0,"Photo by Clem23, CC BY-SA 3.0, via Wikimedia Commons",,,,carried over from the Phase 1 hero image
PET,2,,,,,,,,
PET,3,,,,,,,,
QIR,1,,,,,,,,
QIR,2,,,,,,,,
QIR,3,,,,,,,,
RTI,1,,,,,,,,
RTI,2,,,,,,,,
RTI,3,,,,,,,,
SHB,1,https://commons.wikimedia.org/wiki/Special:FilePath/Montr%C3%A9al_Castle_04.jpg,Wikimedia Commons,CC BY-SA 4.0,"Photo by Davide Mauro, CC BY-SA 4.0, via Wikimedia Commons",,,,carried over from the Phase 1 hero image
SHB,2,,,,,,,,
SHB,3,,,,,,,,
UDH,1,https://commons.wikimedia.org/wiki/Special:FilePath/Udhruh_(Arch).jpg,Wikimedia Commons,CC BY-SA 4.0,"Photo by Bashar Tabbah, CC BY-SA 4.0, via Wikimedia Commons",,,,carried over from the Phase 1 hero image
UDH,2,,,,,,,,
UDH,3,,,,,,,,
UNZ,1,https://commons.wikimedia.org/wiki/Special:FilePath/%D9%82%D9%84%D8%B9%D8%A9_%D8%B9%D9%86%D9%8A%D8%B2%D8%A9_%D8%A7%D9%84%D8%B9%D8%AB%D9%85%D8%A7%D9%86%D9%8A%D8%A9%D8%8C_30%D9%83%D9%84%D9%85_%D8%B4%D9%85%D8%A7%D9%84_%D9%85%D8%B9%D8%A7%D9%86.jpg,Wikimedia Commons,CC BY-SA 4.0,"Photo by د. أنور الجازي (Anwar Al-Jazi), CC BY-SA 4.0, via Wikimedia Commons",,,,carried over from the Phase 1 hero image
UNZ,2,,,,,,,,
UNZ,3,,,,,,,,
USH,1,,,,,,,,
USH,2,,,,,,,,
USH,3,,,,,,,,
WMU,1,"https://commons.wikimedia.org/wiki/Special:FilePath/Wadi_Musa,_Jordan.jpg",Wikimedia Commons,CC BY-SA 3.0,"Photo by Bernard Gagnon, CC BY-SA 3.0, via Wikimedia Commons",,,,carried over from the Phase 1 hero image
WMU,2,,,,,,,,
WMU,3,,,,,,,,
WUA,1,https://commons.wikimedia.org/wiki/Special:FilePath/Wu%E2%80%99era_Castle_(Interior).jpg,Wikimedia Commons,CC BY-SA 4.0,"Photo by Bashar Tabbah, CC BY-SA 4.0, via Wikimedia Commons",,,,carried over from the Phase 1 hero image
WUA,2,,,,,,,,
WUA,3,,,,,,,,
PET-CHU,1,https://commons.wikimedia.org/wiki/Special:FilePath/Mosaic_Petra_Church_5.JPG,Wikimedia Commons,CC BY-SA 3.0,"Photo by Odilia, CC BY-SA 3.0, via Wikimedia Commons",,,,carried over from the Phase 1 hero image
PET-CHU,2,,,,,,,,
PET-CHU,3,,,,,,,,
PET-COL,1,"https://commons.wikimedia.org/wiki/Special:FilePath/Cardo_maximus,_Petra.jpg",Wikimedia Commons,CC BY-SA 3.0,"Photo by Bernard Gagnon, CC BY-SA 3.0, via Wikimedia Commons",,,,carried over from the Phase 1 hero image
PET-COL,2,,,,,,,,
PET-COL,3,,,,,,,,
PET-COR,1,"https://commons.wikimedia.org/wiki/Special:FilePath/Corinthian_Tomb,_Petra_01.jpg",Wikimedia Commons,CC BY-SA 3.0,"Photo by Bernard Gagnon, CC BY-SA 3.0, via Wikimedia Commons",,,,carried over from the Phase 1 hero image
PET-COR,2,,,,,,,,
PET-COR,3,,,,,,,,
PET-DJN,1,https://commons.wikimedia.org/wiki/Special:FilePath/Petra-Djinn-Bloecke-04-2010-gje.jpg,Wikimedia Commons,CC BY-SA 4.0,"Photo by Gerd Eichmann, CC BY-SA 4.0, via Wikimedia Commons",,,,carried over from the Phase 1 hero image
PET-DJN,2,,,,,,,,
PET-DJN,3,,,,,,,,
