landmark_id,position,url,source,license,attribution_text,duration_seconds,width,height,caption_en,caption_ar,researcher,notes
ABH,1,,,,,,,,,,,
ABH,2,,,,,,,,,,,
ACT-BLN1,1,,,,,,,,,,,
ACT-BLN1,2,,,,,,,,,,,
AJF,1,,,,,,,,,,,
AJF,2,,,,,,,,,,,
AMS,1,,,,,,,,,,,
AMS,2,,,,,,,,,,,
BAJ,1,,,,,,,,,,,
BAJ,2,,,,,,,,,,,
BAS,1,,,,,,,,,,,
BAS,2,,,,,,,,,,,
BEI,1,,,,,,,,,,,
BEI,2,,,,,,,,,,,
DAJ,1,,,,,,,,,,,
DAJ,2,,,,,,,,,,,
FOOD-MZR1,1,,,,,,,,,,,
FOOD-MZR1,2,,,,,,,,,,,
FOOD-QYM1,1,,,,,,,,,,,
FOOD-QYM1,2,,,,,,,,,,,
FOOD-RYH1,1,,,,,,,,,,,
FOOD-RYH1,2,,,,,,,,,,,
FOOD-SHM1,1,,,,,,,,,,,
FOOD-SHM1,2,,,,,,,,,,,
FOOD-TRK1,1,,,,,,,,,,,
FOOD-TRK1,2,,,,,,,,,,,
FOOD-ZRB1,1,,,,,,,,,,,
FOOD-ZRB1,2,,,,,,,,,,,
HMM,1,,,,,,,,,,,
HMM,2,,,,,,,,,,,
JHR,1,,,,,,,,,,,
JHR,2,,,,,,,,,,,
LPET,1,,,,,,,,,,,
LPET,2,,,,,,,,,,,
MPL,1,,,,,,,,,,,
MPL,2,,,,,,,,,,,
MUT,1,,,,,,,,,,,
MUT,2,,,,,,,,,,,
OPM,1,,,,,,,,,,,
OPM,2,,,,,,,,,,,
PAM,1,,,,,,,,,,,
PAM,2,,,,,,,,,,,
PET,1,,,,,,,,,,,
PET,2,,,,,,,,,,,
PET-CHU,1,,,,,,,,,,,
PET-CHU,2,,,,,,,,,,,
PET-COL,1,,,,,,,,,,,
PET-COL,2,,,,,,,,,,,
PET-COR,1,,,,,,,,,,,
PET-COR,2,,,,,,,,,,,
PET-DJN,1,,,,,,,,,,,
PET-DJN,2,,,,,,,,,,,
PET-GRT,1,,,,,,,,,,,
PET-GRT,2,,,,,,,,,,,
PET-GTM,1,,,,,,,,,,,
PET-GTM,2,,,,,,,,,,,
PET-HAB,1,,,,,,,,,,,
PET-HAB,2,,,,,,,,,,,
PET-HPS,1,,,,,,,,,,,
PET-HPS,2,,,,,,,,,,,
PET-KHB,1,,,,,,,,,,,
PET-KHB,2,,,,,,,,,,,
PET-LTC,1,,,,,,,,,,,
PET-LTC,2,,,,,,,,,,,
PET-MON,1,,,,,,,,,,,
PET-MON,2,,,,,,,,,,,
PET-OBT,1,,,,,,,,,,,
PET-OBT,2,,,,,,,,,,,
PET-PAL,1,,,,,,,,,,,
PET-PAL,2,,,,,,,,,,,
PET-QAB,1,,,,,,,,,,,
PET-QAB,2,,,,,,,,,,,
PET-RST,1,,,,,,,,,,,
PET-RST,2,,,,,,,,,,,
PET-SIQ,1,,,,,,,,,,,
PET-SIQ,2,,,,,,,,,,,
PET-SLK,1,,,,,,,,,,,
PET-SLK,2,,,,,,,,,,,
PET-SOF,1,,,,,,,,,,,
PET-SOF,2,,,,,,,,,,,
PET-THE,1,,,,,,,,,,,
PET-THE,2,,,,,,,,,,,
PET-TRE,1,,,,,,,,,,,
PET-TRE,2,,,,,,,,,,,
PET-TWL,1,,,,,,,,,,,
PET-TWL,2,,,,,,,,,,,
PET-URN,1,,,,,,,,,,,
PET-URN,2,,,,,,,,,,,
PET-WFA,1,,,,,,,,,,,
PET-WFA,2,,,,,,,,,,,
PET-WMD,1,,,,,,,,,,,
PET-WMD,2,,,,,,,,,,,
PET-WSA,1,,,,,,,,,,,
PET-WSA,2,,,,,,,,,,,
QIR,1,,,,,,,,,,,
QIR,2,,,,,,,,,,,
RTI,1,,,,,,,,,,,
RTI,2,,,,,,,,,,,
SHB,1,,,,,,,,,,,
SHB,2,,,,,,,,,,,
UDH,1,,,,,,,,,,,
UDH,2,,,,,,,,,,,
UNZ,1,,,,,,,,,,,
UNZ,2,,,,,,,,,,,
USH,1,,,,,,,,,,,
USH,2,,,,,,,,,,,
WMU,1,,,,,,,,,,,
WMU,2,,,,,,,,,,,
WUA,1,,,,,,,,,,,
WUA,2,,,,,,,,,,,
